dataset,probe_id,gene_symbol
GSE23959,2349006,VCAM1
GSE23959,2349007,VCAM1
GSE23959,2349008,VCAM1
GSE23959,2349009,VCAM1
GSE23959,2349011,VCAM1
GSE23959,2349012,VCAM1
GSE23959,2349017,VCAM1
GSE23959,2349018,VCAM1
GSE23959,2349019,VCAM1
GSE23959,2349020,VCAM1
GSE23959,2349021,VCAM1
GSE23959,2349022,VCAM1
GSE23959,2349024,VCAM1
GSE23959,2349025,VCAM1
GSE23959,2380600,TGFB2
GSE23959,2380601,TGFB2
GSE23959,2380610,TGFB2
GSE23959,2380623,TGFB2
GSE23959,2380624,TGFB2
GSE23959,2380629,TGFB2
GSE23959,2380632,TGFB2
GSE23959,2380633,TGFB2
GSE23959,2380634,TGFB2
GSE23959,2380636,TGFB2
GSE23959,2380637,TGFB2
GSE23959,2396850,NPPA
GSE23959,2396853,NPPA
GSE23959,2396854,NPPA
GSE23959,2396856,NPPA
GSE23959,2396862,NPPB
GSE23959,2396864,NPPB
GSE23959,2396865,NPPB
GSE23959,2396868,NPPB
GSE23959,2433448,GJA5
GSE23959,2433449,GJA5
GSE23959,2433450,GJA5
GSE23959,2433451,GJA5
GSE23959,2433452,GJA5
GSE23959,2450765,TNNT2
GSE23959,2450766,TNNT2
GSE23959,2450767,TNNT2
GSE23959,2450770,TNNT2
GSE23959,2450771,TNNT2
GSE23959,2450772,TNNT2
GSE23959,2450776,TNNT2
GSE23959,2450777,TNNT2
GSE23959,2450778,TNNT2
GSE23959,2480389,EPAS1
GSE23959,2480390,EPAS1
GSE23959,2480391,EPAS1
GSE23959,2480420,EPAS1
GSE23959,2480421,EPAS1
GSE23959,2480424,EPAS1
GSE23959,2480425,EPAS1
GSE23959,2480432,EPAS1
GSE23959,2480433,EPAS1
GSE23959,2480434,EPAS1
GSE23959,2480440,EPAS1
GSE23959,2480441,EPAS1
GSE23959,2480443,EPAS1
GSE23959,2480444,EPAS1
GSE23959,2480447,EPAS1
GSE23959,2480448,EPAS1
GSE23959,2480449,EPAS1
GSE23959,2480451,EPAS1
GSE23959,2480453,EPAS1
GSE23959,2480454,EPAS1
GSE23959,2480455,EPAS1
GSE23959,2480456,EPAS1
GSE23959,2519582,COL3A1
GSE23959,2519583,COL3A1
GSE23959,2519586,COL3A1
GSE23959,2519587,COL3A1
GSE23959,2519588,COL3A1
GSE23959,2519589,COL3A1
GSE23959,2519590,COL3A1
GSE23959,2519591,COL3A1
GSE23959,2519592,COL3A1
GSE23959,2519593,COL3A1
GSE23959,2519594,COL3A1
GSE23959,2519596,COL3A1
GSE23959,2519597,COL3A1
GSE23959,2519598,COL3A1
GSE23959,2519600,COL3A1
GSE23959,2519601,COL3A1
GSE23959,2519602,COL3A1
GSE23959,2519603,COL3A1
GSE23959,2519604,COL3A1
GSE23959,2519606,COL3A1
GSE23959,2519607,COL3A1
GSE23959,2519608,COL3A1
GSE23959,2519610,COL3A1
GSE23959,2519611,COL3A1
GSE23959,2519614,COL3A1
GSE23959,2519615,COL3A1
GSE23959,2519616,COL3A1
GSE23959,2519617,COL3A1
GSE23959,2519619,COL3A1
GSE23959,2519626,COL3A1
GSE23959,2519628,COL3A1
GSE23959,2519630,COL3A1
