perturbation,context,module,gene,log2fc,adjusted_p_value
Rnf20 iEC-KO vs control,EC-EndoC,arterial_maturation,NOTCH1,-0.128857581497331,1.0
Rnf20 iEC-KO vs control,EC-EndoC,arterial_maturation,DLL4,-0.0429423264622573,1.0
Rnf20 iEC-KO vs control,EC-EndoC,arterial_maturation,JAG1,-0.0128713997010129,1.0
Rnf20 iEC-KO vs control,EC-EndoC,arterial_maturation,HEY1,-0.0198570735067976,1.0
Rnf20 iEC-KO vs control,EC-EndoC,arterial_maturation,HEY2,-0.0629972880874803,1.0
Rnf20 iEC-KO vs control,EC-EndoC,arterial_maturation,EFNB2,-0.206078068146914,1.0
Rnf20 iEC-KO vs control,EC-EndoC,arterial_maturation,GJA5,-0.0422756623909408,1.0
Rnf20 iEC-KO vs control,EC-EndoC,arterial_maturation,SOX17,-0.0236514253292319,1.0
Rnf20 iEC-KO vs control,EC-EndoC,endothelial_matrix_core,FN1,-0.199085655459971,1.0
Rnf20 iEC-KO vs control,EC-EndoC,endothelial_matrix_core,VCAN,-0.0680921749959533,1.0
Rnf20 iEC-KO vs control,EC-EndoC,endothelial_matrix_core,COL4A1,-0.342723038982699,6.88963009165521e-05
Rnf20 iEC-KO vs control,EC-EndoC,endothelial_matrix_core,COL4A2,-0.145411352412139,1.0
Rnf20 iEC-KO vs control,EC-EndoC,endothelial_matrix_core,LAMA4,-0.20434461155158,1.0
Rnf20 iEC-KO vs control,EC-EndoC,endothelial_matrix_core,ITGA5,0.0511149169005035,1.0
Rnf20 iEC-KO vs control,EC-EndoC,endothelial_matrix_core,ITGB1,-0.0395372867960786,1.0
Rnf20 iEC-KO vs control,EC-EndoC,tgfb_plasticity_transcript,TGFB1,-0.0516243081709279,1.0
Rnf20 iEC-KO vs control,EC-EndoC,tgfb_plasticity_transcript,TGFB2,0.0884671011959014,1.0
Rnf20 iEC-KO vs control,EC-EndoC,tgfb_plasticity_transcript,TGFBR1,-0.134038071270278,1.0
Rnf20 iEC-KO vs control,EC-EndoC,tgfb_plasticity_transcript,TGFBR2,-0.156050094815983,1.0
Rnf20 iEC-KO vs control,EC-EndoC,tgfb_plasticity_transcript,SMAD2,-0.114706634384356,1.0
Rnf20 iEC-KO vs control,EC-EndoC,tgfb_plasticity_transcript,SMAD3,0.00528222368481057,1.0
Rnf20 iEC-KO vs control,EC-EndoC,tgfb_plasticity_transcript,SNAI1,-0.0177989031364062,1.0
Rnf20 iEC-KO vs control,EC-EndoC,tgfb_plasticity_transcript,SNAI2,0.0155207282977692,1.0
Rnf20 iEC-KO vs control,EndoV,arterial_maturation,NOTCH1,-0.168007079578654,1.0
Rnf20 iEC-KO vs control,EndoV,arterial_maturation,DLL4,-0.0500967098694494,1.0
Rnf20 iEC-KO vs control,EndoV,arterial_maturation,JAG1,0.0205309538777682,1.0
Rnf20 iEC-KO vs control,EndoV,arterial_maturation,HEY1,-0.041088553948221,1.0
Rnf20 iEC-KO vs control,EndoV,arterial_maturation,HEY2,-0.0114153293291309,1.0
Rnf20 iEC-KO vs control,EndoV,arterial_maturation,EFNB2,-0.0763955347864065,1.0
Rnf20 iEC-KO vs control,EndoV,arterial_maturation,GJA5,0.00746174668846197,1.0
Rnf20 iEC-KO vs control,EndoV,arterial_maturation,SOX17,0.0154881777515484,1.0
Rnf20 iEC-KO vs control,EndoV,endothelial_matrix_core,FN1,-0.0839994852644264,1.0
