contrast,dataset,sample,disease,arterial_maturation,endothelial_matrix_core,tgfb_plasticity_transcript,AMA,endothelial_abundance,fibroblast,cardiomyocyte,immune,mural_pericyte
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-04,1.0,-0.23447486454025893,-0.023710072937238254,0.06728342952590119,0.06363383598386532,0.36154657820374203,-0.0888093464035653,1.3730852464257723,-1.6143351393171188,-4.021532655052882
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-05,1.0,0.14219231502025567,-1.3271947729690496,0.1287663592409036,0.35207869956929677,-0.5326761191029687,-1.0704474560540214,0.4382349747379944,-1.280485537548038,-3.2107682812496217
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-18,1.0,-7.668018682375339,-6.875725518862412,-5.856682753800593,6.800142318346114,-4.271520863536734,-4.632007587415675,-5.78575776098901,0.9142958597039371,-25.166925064047188
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-19,1.0,-4.474216563252631,-4.853456486963076,-5.051670793678985,4.793114614631564,-3.48114167577754,-3.9445542608756003,1.879262847221186,-2.1637196141152417,-15.26051097035628
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-07,1.0,0.9140048898809802,1.9234511087246573,1.7664909534259534,-1.5346489840105304,0.4805584053147404,3.6024300791338555,1.3115070387775283,-2.680136972670901,4.303682008592288
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-08,1.0,-1.1918584320424344,-0.42256750266487225,-0.34049258548329325,0.6516395067302,-0.3147809024125932,-0.2055755264902356,2.0238121652601357,-2.555640469424806,-8.914639528018837
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-09,1.0,-1.2236771161033022,0.9401848307736524,1.1707083182895925,-0.29573867765331424,-0.08151405742929743,2.3560711889090853,2.256432052285276,-0.5057847075651322,2.037639384593397
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-13,1.0,-0.039859242424490245,0.5130789764498049,0.9650150919191304,-0.47941160864814836,0.2514760378966205,1.6659596578551006,2.7770936268589415,-2.80720392541077,0.14968376668556407
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-14,1.0,-1.2609293707751528,-1.4396465406903143,-1.4315023423953768,1.3773594179536148,-1.0645958524184937,-1.2377529374335792,2.0305906360507184,-2.269373099427387,-6.957274584108699
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-15,1.0,-1.6087306578211988,-1.203061002485806,0.30164043475644003,0.8367170751835217,-0.7858452351447334,-0.06727396574552598,-0.30559533547915274,-0.9760074181127508,-6.282430976585719
