contrast,dataset,model,composition_covariates,beta,se,ci_low,ci_high,p_value,t_value,n,rank,df_resid,condition_number,disease_vif,fdr_within_model_family
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,unadjusted,none,0.6593683114665827,0.9814303346246258,-1.3662043445032934,2.684940967436459,0.5080991598987438,0.6718442340777817,26,2,24,4.913287477537984,1.0,0.5080991598987438
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,adjusted_endothelial_abundance_only,endothelial_abundance,-0.04035168591187355,0.2954914923588581,-0.6516224103941075,0.5709190385703604,0.8925685725926388,-0.13655786022721986,26,3,23,5.561296757371745,1.0231448191371524,0.8925685725926388
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,adjusted_fibroblast_only,fibroblast,0.6771189771655741,0.40623929700343286,-0.16325103623186143,1.5174889905630096,0.10911620483702948,1.6667983185286288,26,3,23,6.574658901072186,1.0000163077125221,0.22973955112422229
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,adjusted_cardiomyocyte_only,cardiomyocyte,1.1798463103528605,0.8492035449495507,-0.5768650657018624,2.9365576864075833,0.17802960981685864,1.3893563178930823,26,3,23,7.087411046089783,1.0379562550317956,0.26704441472528795
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,adjusted_immune_only,immune,1.9047546998698666,1.082921472170575,-0.33543904502199373,4.144948444761727,0.09189314029035642,1.7589038068033074,26,3,23,9.088127697893487,1.4011373409336154,0.0918931402903564
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,adjusted_mural_pericyte_only,mural_pericyte,-0.8181558015514586,0.37018654405418433,-1.5839450131838735,-0.05236658991904375,0.03732138808357125,-2.2101176141931966,26,3,23,29.313383419522374,1.1076920212317227,0.05598208212535688
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,adjusted_all_five_marker_scores,endothelial_abundance;fibroblast;cardiomyocyte;immune;mural_pericyte,-0.4412171617723768,0.33806852062329285,-1.1488027074751601,0.2663683839304065,0.20744020829421317,-1.305111641151652,26,7,19,42.986606217197114,3.208216910901545,0.31116031244131975
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,unadjusted,none,1.5320669953711386,0.7085277404768846,-0.1018009040754213,3.165934894817698,0.06256237095494496,2.1623246456658975,10,2,8,2.6180339887498953,1.0,0.1192075750272118
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,adjusted_endothelial_abundance_only,endothelial_abundance,1.2975329019511834,0.43083538769534047,0.27876909576240205,2.316296708139965,0.01961585841515958,3.0116674233564042,10,3,7,2.690010642385463,1.0200583702853065,0.05884757524547874
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,adjusted_fibroblast_only,fibroblast,-0.07528470359932461,0.6458764448106306,-1.60253980853107,1.4519704013324206,0.9104807852340807,-0.11656208273921169,10,3,7,5.53654278487414,2.00837136322553,0.9104807852340807
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,adjusted_cardiomyocyte_only,cardiomyocyte,1.0799557763010665,1.0118676558097728,-1.312731022029062,3.472642574631195,0.32126093356579627,1.0672895512573772,10,3,7,4.692898841936279,1.8925251203730116,0.32126093356579627
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,adjusted_immune_only,immune,1.6414530820563975,0.5540118752712758,0.33142316611954215,2.951482997993253,0.021019922701158718,2.9628481903075605,10,3,7,2.972784666047575,1.0063605790204442,0.05653230129586426
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,adjusted_mural_pericyte_only,mural_pericyte,0.22100551197484491,0.4744949916164375,-0.9009968524606979,1.3430078764103877,0.6555250263101853,0.4657699572801746,10,3,7,4.032427021207492,1.5705610283576805,0.6555250263101853
