subset,method,pair,sensitivity,n_chd,n_donor,difference_mean_fisher_z_chd_minus_donor,difference_on_correlation_scale,mean_fisher_z_chd,mean_fisher_z_donor,mean_correlation_chd,mean_correlation_donor,exact_p_two_sided,exact_p_lower_in_chd,n_label_permutations,fdr_q_three_pairs
all_endothelial,pearson,Arterial–matrix,all_structural_individuals,6,4,0.024432136948607568,0.024298670311893464,-0.06149759253215734,-0.08592972948076491,-0.06142018261463293,-0.0857188529265264,0.638095238095238,0.6857142857142857,210,0.638095238095238
all_endothelial,pearson,Arterial–matrix,high_contamination_excluded,3,4,0.01246513814150714,0.01238614082195591,-0.07346459133925777,-0.08592972948076491,-0.07333271210457049,-0.0857188529265264,0.8571428571428571,0.6571428571428571,35,0.8571428571428571
all_endothelial,pearson,Arterial–plasticity transcripts,all_structural_individuals,6,4,0.02076995935921075,0.02073128360148202,0.053147607089533366,0.03237764773032262,0.053097622114351165,0.032366338512869144,0.5142857142857142,0.7380952380952381,210,0.638095238095238
all_endothelial,pearson,Arterial–plasticity transcripts,high_contamination_excluded,3,4,0.007386749086838375,0.007377112967523657,0.03976439681716099,0.03237764773032262,0.0397434514803928,0.032366338512869144,0.8571428571428571,0.6,35,0.8571428571428571
all_endothelial,pearson,Matrix–plasticity transcripts,all_structural_individuals,6,4,0.06973292582088184,0.06967566054897849,0.05528637233803041,-0.014446553482851426,0.05523011199480643,-0.014445548554172058,0.08571428571428572,0.9619047619047619,210,0.2571428571428571
all_endothelial,pearson,Matrix–plasticity transcripts,high_contamination_excluded,3,4,0.05224767949208797,0.0522286798556397,0.037801126009236546,-0.014446553482851426,0.03778313130146764,-0.014445548554172058,0.22857142857142856,0.9142857142857143,35,0.6857142857142857
all_endothelial,pearson,Mean three-pair coupling,all_structural_individuals,6,4,0.03831167404290004,0.038306516754604454,0.015645462298468808,-0.022666211744431234,0.015644185855469322,-0.022662330899135132,0.03333333333333333,0.9857142857142858,210,
all_endothelial,pearson,Mean three-pair coupling,high_contamination_excluded,3,4,0.024033188906811158,0.024029307210059078,0.0013669771623799221,-0.022666211744431234,0.0013669763109239467,-0.022662330899135132,0.17142857142857143,0.9428571428571428,35,
all_endothelial,spearman,Arterial–matrix,all_structural_individuals,6,4,0.03411773128005229,0.03401761934218339,-0.03626841940857558,-0.07038615068862787,-0.03625252529959323,-0.07027014464177662,0.45714285714285713,0.7714285714285715,210,0.5904761904761905
all_endothelial,spearman,Arterial–matrix,high_contamination_excluded,3,4,0.0242421899346116,0.024158906926252686,-0.04614396075401627,-0.07038615068862787,-0.04611123771552394,-0.07027014464177662,0.7142857142857143,0.6571428571428571,35,0.9142857142857143
all_endothelial,spearman,Arterial–plasticity transcripts,all_structural_individuals,6,4,0.01635546290283723,0.016323623849954,0.05207585672300157,0.03572039382016434,0.0520288329824405,0.0357052091324865,0.5904761904761905,0.6904761904761905,210,0.5904761904761905
all_endothelial,spearman,Arterial–plasticity transcripts,high_contamination_excluded,3,4,0.004227905838815417,0.00422185336340368,0.03994829965897976,0.03572039382016434,0.03992706249589018,0.0357052091324865,0.9142857142857143,0.6,35,0.9142857142857143
all_endothelial,spearman,Matrix–plasticity transcripts,all_structural_individuals,6,4,0.06907324836132772,0.06902970278876827,0.04981503630977783,-0.019258212051549886,0.04977387120449151,-0.019255831584276756,0.07142857142857142,0.9666666666666667,210,0.21428571428571427
all_endothelial,spearman,Matrix–plasticity transcripts,high_contamination_excluded,3,4,0.05284417816820664,0.05282917488148184,0.033585966116656756,-0.019258212051549886,0.033573343297205085,-0.019255831584276756,0.22857142857142856,0.9142857142857143,35,0.6857142857142857
all_endothelial,spearman,Mean three-pair coupling,all_structural_individuals,6,4,0.03984881418140575,0.03984339052546202,0.021874157874734606,-0.017974656306671142,0.02187066976884924,-0.01797272075661278,0.0380952380952381,0.9857142857142858,210,
all_endothelial,spearman,Mean three-pair coupling,high_contamination_excluded,3,4,0.02710475798054456,0.027102568747637223,0.009130101673873417,-0.017974656306671142,0.009129847991024441,-0.01797272075661278,0.11428571428571428,0.9428571428571428,35,
all_endothelial_structural_balanced,pearson,Arterial–matrix,all_structural_individuals,6,4,0.022209139686093116,0.022071682697028763,-0.06747303377318889,-0.089682173459282,-0.06737082708283965,-0.08944250977986841,0.7,0.6571428571428571,210,0.8000000000000002
all_endothelial_structural_balanced,pearson,Arterial–matrix,high_contamination_excluded,3,4,0.021180719439632886,0.021048001560711127,-0.06850145401964912,-0.089682173459282,-0.06839450821915728,-0.08944250977986841,0.8285714285714286,0.5714285714285714,35,0.8285714285714286
all_endothelial_structural_balanced,pearson,Arterial–plasticity transcripts,all_structural_individuals,6,4,-0.008815225228343597,-0.008794983152640434,0.043481304100692154,0.05229652932903575,0.04345392254490703,0.05224890569754746,0.8,0.3952380952380952,210,0.8000000000000002
all_endothelial_structural_balanced,pearson,Arterial–plasticity transcripts,high_contamination_excluded,3,4,-0.012041576519373612,-0.012015682666478796,0.04025495280966214,0.05229652932903575,0.04023322303106867,0.05224890569754746,0.8285714285714286,0.42857142857142855,35,0.8285714285714286
all_endothelial_structural_balanced,pearson,Matrix–plasticity transcripts,all_structural_individuals,6,4,0.05896752572932559,0.05890845820715504,0.056189503286284415,-0.0027780224430411764,0.05613044291046999,-0.0027780152966850524,0.18095238095238095,0.9142857142857143,210,0.5428571428571428
all_endothelial_structural_balanced,pearson,Matrix–plasticity transcripts,high_contamination_excluded,3,4,0.04986369966573224,0.04982892607791043,0.04708567722269106,-0.0027780224430411764,0.04705091078122538,-0.0027780152966850524,0.37142857142857144,0.8285714285714286,35,0.8285714285714286
all_endothelial_structural_balanced,pearson,Mean three-pair coupling,all_structural_individuals,6,4,0.024120480062358368,0.024119268186320538,0.010732591204595889,-0.013387888857762478,0.01073217913317162,-0.013387089053148919,0.16666666666666666,0.9285714285714286,210,
all_endothelial_structural_balanced,pearson,Mean three-pair coupling,high_contamination_excluded,3,4,0.0196676141953305,0.019666731845133456,0.0062797253375680255,-0.013387888857762478,0.006279642791984537,-0.013387089053148919,0.4,0.8285714285714286,35,
all_endothelial_structural_balanced,spearman,Arterial–matrix,all_structural_individuals,6,4,0.020376407171131865,0.020308776775087287,-0.047188804076979916,-0.06756521124811178,-0.04715380883485257,-0.06746258560993985,0.6333333333333333,0.6904761904761905,210,0.6999999999999998
all_endothelial_structural_balanced,spearman,Arterial–matrix,high_contamination_excluded,3,4,0.02444505580447285,0.024369135426861796,-0.04312015544363893,-0.06756521124811178,-0.04309345018307806,-0.06746258560993985,0.6857142857142857,0.6857142857142857,35,0.6857142857142856
all_endothelial_structural_balanced,spearman,Arterial–plasticity transcripts,all_structural_individuals,6,4,-0.012899002048643589,-0.012868379493677855,0.04217159919092529,0.055070601239568875,0.04214661702312618,0.055014996516804034,0.7,0.3523809523809524,210,0.6999999999999998
