contrast,dataset,sample,role,module,raw_module_score,z_vs_control
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-04,case,arterial_maturation,8.095809406862283,-0.23447486454025893
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-05,case,arterial_maturation,8.264247745280532,0.14219231502025567
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-18,case,arterial_maturation,4.7716711830428045,-7.668018682375339
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-19,case,arterial_maturation,6.19987823524572,-4.474216563252631
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-07,case,arterial_maturation,8.609387525793222,0.9140048898809802
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-08,case,arterial_maturation,7.667685837595762,-1.1918584320424344
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-09,case,arterial_maturation,7.6534571323496055,-1.2236771161033022
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-13,case,arterial_maturation,8.182837780445725,-0.039859242424490245
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-14,case,arterial_maturation,7.636798638539284,-1.2609293707751528
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-15,case,arterial_maturation,7.481268573620654,-1.6087306578211988
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-01,case,arterial_maturation,8.10250773794885,-0.2194958431260576
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-03,case,arterial_maturation,8.048339528848782,-0.3406285183540878
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-06,case,arterial_maturation,7.507864676610375,-1.5492556048462405
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-10,case,arterial_maturation,7.5967167731522975,-1.350561715338847
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-02,case,arterial_maturation,8.927344214758522,1.6250297692500366
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-11,case,arterial_maturation,6.757784269652932,-3.2266093117601207
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-12,case,arterial_maturation,8.238140873222518,0.08381129584384053
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-21,case,arterial_maturation,8.11764839294918,-0.18563782796615916
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-16,case,arterial_maturation,8.852142271175222,1.4568607867428933
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-17,case,arterial_maturation,7.896327300374273,-0.6805631074499783
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-20,case,arterial_maturation,7.495681005718865,-1.576501117919419
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-22,case,arterial_maturation,7.99703034835329,-0.4553677427152836
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-06,control,arterial_maturation,7.950040762236816,-0.5604473524847569
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-02,control,arterial_maturation,7.7056001801770275,-1.1070731710437474
