contrast,dataset,case_label,control_label,module,test,n_case,n_control,mean_case,mean_control,delta_case_minus_control,ci95_low,ci95_high,p_value,effect_size_cohen_d,direction,supports_ama_attenuation_direction,fdr_within_all_module_tests
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF right ventricle,healthy right ventricle,arterial_maturation,welch_t,22,4,7.731844065979121,8.200662069178353,-0.4688180031992317,-1.1429814233702968,0.2053454169718335,0.14866038118829258,-0.5462471073995553,lower_in_case,True,0.25037537884344013
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF right ventricle,healthy right ventricle,endothelial_matrix_core,welch_t,22,4,10.423232647659832,10.818478790103326,-0.39524614244349365,-1.1932765653774582,0.40278428049047077,0.2888812920401524,-0.3883065943555721,lower_in_case,True,0.4000183820835441
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF right ventricle,healthy right ventricle,tgfb_plasticity_core,welch_t,22,4,6.961264155952228,7.034441519630976,-0.07317736367874783,-0.6708891308472571,0.5245344034897614,0.7839343339378221,-0.10079634532466576,lower_in_case,True,0.809222538258397
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF right ventricle,healthy right ventricle,AMA,welch_t,22,4,0.659368311466583,6.106226635438361e-16,0.6593683114665825,-0.6942827441958228,2.0130193671289875,0.3000137865626581,0.3651858422659709,higher_in_case,True,0.4000183820835441
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF right ventricle,all healthy ventricles,arterial_maturation,welch_t,22,8,7.731844065979121,8.191401007064524,-0.45955694108540257,-1.0168777702304084,0.09776388805960323,0.1012235558582894,-0.557254393072427,lower_in_case,True,0.20730193539314246
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF right ventricle,all healthy ventricles,endothelial_matrix_core,welch_t,22,8,10.423232647659832,10.869472899622705,-0.4462402519628732,-0.989628402532478,0.09714789860673156,0.10365096769657123,-0.47174737977095627,lower_in_case,True,0.20730193539314246
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF right ventricle,all healthy ventricles,tgfb_plasticity_core,welch_t,22,8,6.961264155952228,7.048707638625155,-0.0874434826729269,-0.4834360315811013,0.3085490662352475,0.6543984402265742,-0.12941106596220275,lower_in_case,True,0.7025463822947434
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF right ventricle,all healthy ventricles,AMA,welch_t,22,8,0.7755375148692184,1.6930901125533637e-15,0.7755375148692167,-0.39254089453096297,1.9436159242693964,0.18462622298354942,0.386167893671925,higher_in_case,True,0.2813351969273134
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,TOF right ventricle,healthy right ventricle,arterial_maturation,welch_t,5,5,4.228262825738835,4.557016434017259,-0.3287536082784248,-0.7241416375573015,0.06663442100045192,0.0905731623789756,-1.2313627504013378,lower_in_case,True,0.20730193539314246
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,TOF right ventricle,healthy right ventricle,endothelial_matrix_core,welch_t,5,5,8.15567392665316,8.538255378157315,-0.382581451504155,-1.2138871765305854,0.4487242735222753,0.315795524432722,-0.6802501848939756,lower_in_case,True,0.4042182712738842
