dataset,sample,module,raw_module_score,n_genes_present,n_genes_total
GSE36761,NH-03,arterial_maturation,9.170845779902661,7,8
GSE36761,NH-05,arterial_maturation,8.043271749409355,7,8
GSE36761,NH-06,arterial_maturation,7.950040762236816,7,8
GSE36761,NH-07,arterial_maturation,7.703423111574745,7,8
GSE36761,NH-01,arterial_maturation,7.811019138916012,7,8
GSE36761,NH-02,arterial_maturation,7.7056001801770275,7,8
GSE36761,NH-04,arterial_maturation,8.65714884312631,7,8
GSE36761,NH-08,arterial_maturation,8.489858491173257,7,8
GSE36761,TOF-04,arterial_maturation,8.095809406862283,7,8
GSE36761,TOF-05,arterial_maturation,8.264247745280532,7,8
GSE36761,TOF-18,arterial_maturation,4.7716711830428045,7,8
GSE36761,TOF-19,arterial_maturation,6.19987823524572,7,8
GSE36761,TOF-07,arterial_maturation,8.609387525793222,7,8
GSE36761,TOF-08,arterial_maturation,7.667685837595762,7,8
GSE36761,TOF-09,arterial_maturation,7.6534571323496055,7,8
GSE36761,TOF-13,arterial_maturation,8.182837780445725,7,8
GSE36761,TOF-14,arterial_maturation,7.636798638539284,7,8
GSE36761,TOF-15,arterial_maturation,7.481268573620654,7,8
GSE36761,TOF-01,arterial_maturation,8.10250773794885,7,8
GSE36761,TOF-03,arterial_maturation,8.048339528848782,7,8
GSE36761,TOF-06,arterial_maturation,7.507864676610375,7,8
GSE36761,TOF-10,arterial_maturation,7.5967167731522975,7,8
GSE36761,TOF-02,arterial_maturation,8.927344214758522,7,8
GSE36761,TOF-11,arterial_maturation,6.757784269652932,7,8
GSE36761,TOF-12,arterial_maturation,8.238140873222518,7,8
GSE36761,TOF-21,arterial_maturation,8.11764839294918,7,8
GSE36761,TOF-16,arterial_maturation,8.852142271175222,7,8
GSE36761,TOF-17,arterial_maturation,7.896327300374273,7,8
GSE36761,TOF-20,arterial_maturation,7.495681005718865,7,8
GSE36761,TOF-22,arterial_maturation,7.99703034835329,7,8
GSE36761,NH-03,endothelial_matrix_core,10.988323996537648,7,7
GSE36761,NH-05,endothelial_matrix_core,11.001345881030716,7,7
GSE36761,NH-06,endothelial_matrix_core,10.162369524139363,7,7
GSE36761,NH-07,endothelial_matrix_core,11.115793103832669,7,7
GSE36761,NH-01,endothelial_matrix_core,10.576405055167305,7,7
GSE36761,NH-02,endothelial_matrix_core,10.796121371717161,7,7
