dataset,module,present_genes,missing_genes,n_present,n_total,coverage_fraction
GSE36761,arterial_maturation,NOTCH1;DLL4;JAG1;HEY1;HEY2;EFNB2;SOX17,GJA5,7,8,0.875
GSE36761,endothelial_matrix_core,FN1;VCAN;COL4A1;COL4A2;LAMA4;ITGA5;ITGB1,,7,7,1.0
GSE36761,tgfb_plasticity_core,TGFB1;TGFB2;TGFBR1;TGFBR2;SMAD2;SMAD3;SNAI1;SNAI2,,8,8,1.0
GSE217772,arterial_maturation,NOTCH1;DLL4;JAG1;HEY1;HEY2;EFNB2;GJA5;SOX17,,8,8,1.0
GSE217772,endothelial_matrix_core,FN1;VCAN;COL4A1;COL4A2;LAMA4;ITGA5;ITGB1,,7,7,1.0
GSE217772,tgfb_plasticity_core,TGFB1;TGFB2;TGFBR1;TGFBR2;SMAD2;SMAD3;SNAI1;SNAI2,,8,8,1.0
GSE132176,arterial_maturation,NOTCH1;DLL4;JAG1;HEY1;HEY2;EFNB2;GJA5;SOX17,,8,8,1.0
GSE132176,endothelial_matrix_core,FN1;VCAN;COL4A1;COL4A2;LAMA4;ITGA5;ITGB1,,7,7,1.0
GSE132176,tgfb_plasticity_core,TGFB1;TGFB2;TGFBR1;TGFBR2;SMAD2;SMAD3;SNAI1;SNAI2,,8,8,1.0
GSE23959,arterial_maturation,NOTCH1;DLL4;JAG1;HEY1;HEY2;EFNB2;GJA5;SOX17,,8,8,1.0
GSE23959,endothelial_matrix_core,FN1;VCAN;COL4A1;COL4A2;LAMA4;ITGA5;ITGB1,,7,7,1.0
GSE23959,tgfb_plasticity_core,TGFB1;TGFB2;TGFBR1;TGFBR2;SMAD2;SMAD3;SNAI1;SNAI2,,8,8,1.0
