variant,contrast,dataset,case_label,control_label,module,test,n_case,n_control,mean_case,mean_control,delta_case_minus_control,ci95_low,ci95_high,p_value,effect_size_cohen_d,direction,supports_ama_attenuation_direction,fdr_within_all_module_tests
main_core_disjoint,GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF right ventricle,healthy right ventricle,AMA,welch_t,22,4,0.659368311466583,6.106226635438361e-16,0.6593683114665825,-0.6942827441958228,2.0130193671289875,0.3000137865626581,0.3651858422659709,higher_in_case,True,0.4000183820835441
main_core_disjoint,GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF right ventricle,all healthy ventricles,AMA,welch_t,22,8,0.7755375148692184,1.6930901125533637e-15,0.7755375148692167,-0.39254089453096297,1.9436159242693964,0.18462622298354942,0.386167893671925,higher_in_case,True,0.2813351969273134
main_core_disjoint,GSE217772_TOF_RV_vs_healthy_RV,GSE217772,TOF right ventricle,healthy right ventricle,AMA,welch_t,5,5,1.5320669953711377,-1.554312234475219e-16,1.5320669953711379,-0.15455693298457018,3.2186909237268457,0.06864666064163957,1.3675741842041542,higher_in_case,True,0.20730193539314246
main_core_disjoint,GSE132176_TOF_PRE_CPB_vs_ASD_PRE_CPB,GSE132176,TOF pre-CPB right atrium,ASD pre-CPB right atrium,AMA,welch_t,10,10,-0.8511140082031445,1.0880185641326535e-15,-0.8511140082031456,-1.4669279458076132,-0.23530007059867808,0.009846091559591864,-1.3114766466084813,lower_in_case,False,0.07136030354683374
main_core_disjoint,GSE132176_TOF_POST_vs_PRE_CPB_paired,GSE132176,TOF post-CPB,TOF pre-CPB,AMA,paired_t,10,10,0.36526826262752865,1.1657341758564144e-15,0.36526826262752754,0.040503036497778255,0.6900334887572768,0.03148879223604323,0.8045725132472019,higher_in_case,True,0.1439487645076262
main_core_disjoint,GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ASD post-CPB,ASD pre-CPB,AMA,paired_t,10,10,0.19434255180558294,1.0880185641326535e-15,0.19434255180558185,-0.4313030681841417,0.8199881717953055,0.5000205491848316,0.2222093180487193,higher_in_case,True,0.6154099066890235
main_core_disjoint,GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,HLHS ventricle,healthy right ventricle,AMA,welch_t,6,5,0.7257391984250351,2.6645352591003756e-16,0.7257391984250349,-0.1493816983725068,1.6008600952225764,0.0916153386786272,1.1969936619140713,higher_in_case,True,0.20730193539314246
main_core_disjoint,GSE23959_HLHS_ventricle_vs_all_healthy_ventricles_sensitivity,GSE23959,HLHS ventricle,all healthy ventricles,AMA,welch_t,6,10,0.48543628402599537,-3.3861802251067273e-16,0.4854362840259957,-0.18628759730929445,1.1571601653612857,0.14317908818914374,0.7243443047658477,higher_in_case,True,0.25037537884344013
original_overlapping,GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF right ventricle,healthy right ventricle,AMA,welch_t,22,4,0.6259113654417043,1.0547118733938987e-15,0.6259113654417032,-0.7596365927952171,2.011459323678624,0.33213600203747556,0.3480321380386869,higher_in_case,True,0.5320985455556797
original_overlapping,GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF right ventricle,all healthy ventricles,AMA,welch_t,22,8,0.706570287217144,-4.996003610813204e-16,0.7065702872171444,-0.4034937401793437,1.8166343146136326,0.20279090215577347,0.373937650409996,higher_in_case,True,0.4185469246467149
