donor_id,Age,Rep,populations,n_cells,matrix_tgfb_attenuation,arterial_identity_z
09_rep1,9,1,BEC-Arterial,29,0.26594982775486925,2.7867128316725687
09_rep1,9,1,BEC-Capillary,132,0.4279423980126189,0.4804667841893968
09_rep1,9,1,BEC-Proliferating,89,0.5055144755373682,-0.23527469570451612
09_rep1,9,1,BEC-Venous,92,0.684431863137468,-0.4934115702887125
09_rep1,9,1,Endocardial,281,-0.6316188997740328,-0.19017114234587168
09_rep1,9,1,LEC,41,0.6017888979407631,-0.7366830389724477
09_rep1,9,1,aEndocardial,127,0.09554703910227107,-0.40764648451400326
09_rep1,9,1,vEndocardial,1118,-0.34881509584589493,-0.023818424345145587
09_rep2,9,2,BEC-Arterial,102,0.7094609600036241,3.3373089774767664
09_rep2,9,2,BEC-Capillary,119,0.4840575352149067,0.36988054395978265
09_rep2,9,2,BEC-Proliferating,135,0.6875831221217964,-0.3027589241784128
09_rep2,9,2,BEC-Venous,153,0.5535498318807505,-0.4673432986591466
09_rep2,9,2,Endocardial,281,-0.5833728255948226,-0.4101225041941591
09_rep2,9,2,LEC,14,0.761490150305215,-0.7363672073586252
09_rep2,9,2,aEndocardial,171,0.3151378682502305,-0.48022981161787903
09_rep2,9,2,vEndocardial,272,-0.27327255386284915,-0.31132862270914174
11_rep1,11,1,BEC-Arterial,142,0.6592583669857448,2.6479572938332474
11_rep1,11,1,BEC-Capillary,126,0.6001568927937432,0.2654857245717978
11_rep1,11,1,BEC-Proliferating,151,0.7293093616272169,-0.2392460647797834
11_rep1,11,1,BEC-Venous,209,0.7522054627786112,-0.2104807181361452
11_rep1,11,1,Endocardial,37,-0.14162819646772248,-0.2951692153694884
11_rep1,11,1,LEC,67,1.0545538629091153,-0.7325111712406082
11_rep1,11,1,aEndocardial,644,-0.5160685411377538,-0.3710858115295132
11_rep1,11,1,vEndocardial,259,-0.32049266511213087,-0.11086911662918741
11_rep2,11,2,BEC-Arterial,93,0.4028022317588299,2.7847542258056643
11_rep2,11,2,BEC-Capillary,109,0.21313948267651264,0.4144548381658325
11_rep2,11,2,BEC-Proliferating,92,0.4019512219182064,-0.21952500393504035
11_rep2,11,2,BEC-Venous,158,0.5433673763938219,-0.1207028228181692
11_rep2,11,2,Endocardial,20,-0.8002519784608435,0.07729664021047912
11_rep2,11,2,LEC,16,0.9284767956750459,-0.611698014105489
11_rep2,11,2,aEndocardial,487,-1.1282217088016038,-0.22808979667957888
11_rep2,11,2,vEndocardial,302,-0.6275331630139973,-0.044339974111098086
13_rep1,13,1,BEC-Arterial,85,0.6553630375361772,1.9735049498810189
13_rep1,13,1,BEC-Capillary,134,0.4676997778095487,0.25417647156915013
13_rep1,13,1,BEC-Proliferating,91,0.42635060175557965,-0.3146866632501581
13_rep1,13,1,BEC-Venous,180,0.7387834499764168,-0.39271471340435654
13_rep1,13,1,Endocardial,18,-0.35938964650019184,-0.22478736337599875
13_rep1,13,1,LEC,62,1.0925077530484528,-0.765400471928034
13_rep1,13,1,aEndocardial,381,-1.0236613434063881,-0.23987867284799186
13_rep1,13,1,vEndocardial,197,-0.4015045234021552,-0.1623765147765653
13_rep2,13,2,BEC-Arterial,101,0.31144772240887775,2.583739709873749
13_rep2,13,2,BEC-Capillary,110,0.19500664886853417,0.43651886821556984
13_rep2,13,2,BEC-Proliferating,120,0.41686930355579827,0.002093718127783359
13_rep2,13,2,BEC-Venous,223,0.4299459122087345,0.03744366247682198
13_rep2,13,2,Endocardial,29,-0.562993235433509,0.006858985462675062
13_rep2,13,2,LEC,69,0.906680919534538,-0.5744741564552313
13_rep2,13,2,aEndocardial,300,-0.9532062580950034,-0.08403751337046715
13_rep2,13,2,vEndocardial,276,-0.7020206527109062,0.004359751784797792
15_rep1,15,1,BEC-Arterial,129,0.7631574231426572,1.9593111938190537
15_rep1,15,1,BEC-Capillary,155,0.5391389291391411,0.09924655488824953
15_rep1,15,1,BEC-Proliferating,142,0.6390344996998129,-0.3286073958074267
15_rep1,15,1,BEC-Venous,303,0.666999771925854,-0.2787470150387655
15_rep1,15,1,Endocardial,14,-0.5423505397178688,-0.28640032414591665
15_rep1,15,1,LEC,93,0.9876251237437179,-0.5763788249990985
15_rep1,15,1,aEndocardial,226,-0.42960519219431037,-0.3495600821666565
15_rep1,15,1,vEndocardial,141,-0.32004175224915404,-0.14115026307485223
15_rep2,15,2,BEC-Arterial,161,0.8027734571842451,1.8458343447854093
15_rep2,15,2,BEC-Capillary,207,0.580625870391688,0.06199343438617715
15_rep2,15,2,BEC-Proliferating,123,0.7820780955141932,-0.5213957115798594
15_rep2,15,2,BEC-Venous,373,0.7714772752638461,-0.48577234255337376
15_rep2,15,2,Endocardial,16,-0.07168874871052856,-0.2684204639503944
15_rep2,15,2,LEC,118,1.2230010550360568,-0.7476712577577365
15_rep2,15,2,aEndocardial,208,-0.4178976743106864,-0.4145961775375739
15_rep2,15,2,vEndocardial,221,-0.2692278495692513,-0.35084318944007714
