module,omitted_gene,adjusted_beta
arterial_maturation,NOTCH1,2.116319926943349
arterial_maturation,DLL4,2.140247832052577
arterial_maturation,JAG1,2.0672658946321243
arterial_maturation,HEY1,2.1362588213399003
arterial_maturation,HEY2,2.096004466720678
arterial_maturation,EFNB2,2.1331932391505646
arterial_maturation,GJA5,2.125732778587418
arterial_maturation,SOX17,2.1512164867241643
endothelial_matrix_core,FN1,2.0551847593147423
endothelial_matrix_core,VCAN,2.193480110401404
endothelial_matrix_core,COL4A1,2.1084762038620286
endothelial_matrix_core,COL4A2,2.10936418342209
endothelial_matrix_core,LAMA4,2.0506908519512703
endothelial_matrix_core,ITGA5,2.170391286333846
endothelial_matrix_core,ITGB1,2.1196275723962628
tgfb_plasticity_core,TGFB1,2.066834180597762
tgfb_plasticity_core,TGFB2,2.1054175123644243
tgfb_plasticity_core,TGFBR1,2.1587618809909483
tgfb_plasticity_core,TGFBR2,2.025070640784474
tgfb_plasticity_core,SMAD2,2.2065902140549074
tgfb_plasticity_core,SMAD3,2.172484834867561
tgfb_plasticity_core,SNAI1,2.095399956844768
tgfb_plasticity_core,SNAI2,2.1345789610992285
