contrast,dataset,gene,gene_set,present,test,n_case,n_control,mean_case,mean_control,delta_case_minus_control,ci95_low,ci95_high,p_value,effect_size_cohen_d,fdr_within_contrast
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,ACTA2,tgfb_endmt,True,welch_t,22,4,9.13132735530523,9.808998925582811,-0.6776715702775817,-1.2334352412730376,-0.12190789928212575,0.018967035114091226,-0.5998151696005526,0.1842511982511719
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,ACTC1,cardiac_stress,True,welch_t,22,4,15.882674259976284,16.046677600365292,-0.16400334038900866,-1.4845304581488408,1.1565237773708235,0.743828914854827,-0.21582451323202795,0.9403331336943118
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,APLNR,endothelial_identity,True,welch_t,22,4,7.825417299767793,7.362145365268184,0.463271934499609,-1.576212396731481,2.502756265730699,0.5443274662041886,0.4980679853129859,0.881292088140115
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,CA9,hypoxia_inflammation,True,welch_t,22,4,1.4308851016822426,1.279888768982005,0.1509963327002375,-1.1834283217376813,1.4854209871381563,0.7623503858103288,0.21455917744470895,0.9403331336943118
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,CAV1,flow_mechanosensing,True,welch_t,22,4,11.252827417094629,11.32815520224166,-0.07532778514703153,-0.9633039976505263,0.8126484273564633,0.8297033898924556,-0.11853640688366103,0.9549017074780253
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,CCL2,hypoxia_inflammation,True,welch_t,22,4,5.145178730535194,6.622436615328539,-1.477257884793345,-4.005532444281053,1.0510166746943632,0.169328234867098,-1.341881225127898,0.4797633321234443
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,CDH5,endothelial_identity,True,welch_t,22,4,10.191252717794486,10.257137404608955,-0.0658846868144689,-0.5435784767784723,0.41180910314953445,0.777662703183606,-0.07331802256352347,0.9403331336943118
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,COL1A1,ecm_integrin,True,welch_t,22,4,12.361285552338371,11.11496571012649,1.2463198422118804,0.2789448229291198,2.2136948614946412,0.01374804653515568,0.6377774720762203,0.16842042799548537
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,COL1A2,ecm_integrin,True,welch_t,22,4,11.925797539984837,11.89511183997345,0.03068570001138582,-0.7789780249946685,0.8403494250174401,0.9381999658282301,0.019790085320483767,1.0
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,COL3A1,ecm_integrin,True,welch_t,22,4,12.599137020669257,11.858355188175189,0.7407818324940685,-0.2315038513580281,1.713067516346165,0.12043301315311478,0.5487288376904005,0.37224749520053657
